filename,caption,paraphrased,negation
000000455157.jpg,A person sitting at a wooden bench and table with an open umbrella sitting on the table.,A person is seated on a wooden bench and table with an open umbrella positioned on the table.,A person sitting at an open bench and table with a wooden umbrella sitting on the table.
000000229216.jpg,Two persons sitting on ledge looking at a cellphone.,"Two persons are seated on a ledge, facing a cellphone.",A person sitting on a ledge looking at two cellphones.
000000448448.jpg,Two giraffes grazing from a tree in a field.,"In a field, two giraffe are grazing.",A giraffe grazing from two trees in a field.
000000002149.jpg,A large white bowl of many green apples., Many green apples in a bowl.,A green bowl of many large white apples.
000000312278.jpg,A crate on top of a car holding various luggage.,"The car is positioned underneath the crate, which is holding various luggage on top of it.",Various crates holding luggage are on top of a car.
000000294855.jpg,A bottle in a ice bucket sits on a floor next to a luggage rack.,A bottle in an ice bucket rests on the floor adjacent to a luggage rack.,A bottle in a luggage rack sits on a floor next to an ice bucket.
000000359833.jpg,The baby is standing next to several boxes of apples.,The several boxes of apples are positioned next to the baby.,Several babies are standing next to a box of apples.
000000371749.jpg,Two persons play Wii in a room with a white sofa.,"In a room with a white sofa, two persons play Wii.",A person plays Wii in a room with two white sofas.
000000179285.jpg,A blue tennis racket has a yellow tennis ball on it.,The yellow tennis ball is on top of the blue tennis racket.,A yellow tennis racket has a blue tennis ball on it.
000000397639.jpg,A large white sheep next to a small black one,A small black sheep is next to a large white sheep.,A small white sheep is not next to a large black one.
000000099428.jpg,There are two electronic devices on top of the laptop.,The laptop is positioned below the two electronic devices.,There are electronic devices on top of the two laptops.
000000088432.jpg,Some street signs near a road with a truck.,A truck is near some street signs on a road.,A street sign near a road with some trucks.
000000304545.jpg,A black suitcase with a handle and white background.,A black suitcase featuring a handle against a white background.,A white suitcase with a handle and black background.
000000237928.jpg,"This kitchen has a black stove, stainless steel refrigerator and white cupboards.","The black stove, stainless steel refrigerator, and white cupboards are arranged in this kitchen.","This kitchen has a white stove, stainless steel refrigerator and black cupboards."
000000082180.jpg,Two stuffed animals are sitting on a broken wooden chair.,The broken wooden chair has two stuffed animals sitting on it.,A broken stuffed animal is sitting on two wooden chairs.
000000353096.jpg,"An Apple desktop computer system is turned on with a monitor, keyboard, mouse, two speakers, and other peripherals.","Complete with a monitor, keyboard, mouse, a pair of speakers, and various other peripherals, an apple computer is being turned on.","An Apple desktop computer system is turned on with two monitors, keyboard, mouse, a speaker, and other peripherals."
000000323709.jpg,An airplane is parked next to a domed tower.,The domed tower is positioned next to the parked airplane.,A domed airplane tower is next to a parked building.
000000383443.jpg,A bathroom with a white tub and white cabinets has a black pattern on the floor.,"A white tub and white cabinets, and a black pattern on the floor are featured in a bathroom.",A bathroom with a black tub and black cabinets has a white pattern on the floor.
000000310862.jpg,"An office view shows cubicles and overhead lights in the background, and to the front ,  a serious looking person with a beard, vest and colorful tie. ","In the foreground of the office view, a serious-looking person with a beard, vest, and colorful tie is visible, while cubicles and overhead lights can be seen in the background.","An office view shows cubicles and overhead lights in the background, and to the front, a colorful looking person with a beard, vest and serious tie."
000000233771.jpg,A colorful umbrella in the center of a black and white picture of a busy city side walk.,The black and white picture of the busy city side walk has a colorful umbrella in the center.,A black and white umbrella in the center of a colorful picture of a busy city side walk.
000000226592.jpg,A bedroom done in animal prints with red and black pillows.,Red and black pillows are featured in an animal print bedroom.,A bedroom done in red and black prints with animal pillows.
000000182441.jpg,A bunch of birds flying around a couple of waves near the ocean.,A group of birds flying above a pair of waves near the ocean.,A couple of birds flying around a bunch of waves near the ocean.
000000551804.jpg,A tennis player is taking a swing on a red court.,The tennis player is taking a swing on a red court.,A red player is taking a swing on a tennis court.
000000509403.jpg,A person is playing catch with two children and a dog.,Two children and a dog are playing catch with a person.,A person is playing catch with a child and two dogs.
000000419653.jpg,Different platters of food are set in the kitchen.,Different platters of food are arranged in the kitchen.,Platters of food are set in different kitchens.
000000257624.jpg,A little child standing in the grass with two soccer balls in front of them., Two soccer balls in front of a little child is standing in the grass.,Two childs standing in the grass with a little soccer ball in front of them.
000000009378.jpg,A person holding onto a yellow frisbee while having long hair.,A person with long hair is holding onto a yellow frisbee.,A person holding onto a long frisbee while having yellow hair.
000000334371.jpg,Double-decker buses sit at the curb in front of an old building.,The old building is on the curb where double-decker buses are parked.,Old buses sit at the curb in front of a double-decker building.
000000572388.jpg,A black cat licks a doughnut in front of a yellow toy.,A black cat is positioned in front of a yellow toy while licking a doughnut.,A yellow cat licks a doughnut in front of a black toy.
000000321333.jpg,A couple of children sitting in front of a blanket.,A blanket is in front of a couple of children.,Children in front of a couple of blankets are sitting.
000000526392.jpg,Many cars sit parked on the side of a street.,Cars are parked on the side of the street.,Parked cars sit on the side of many streets.
000000532493.jpg,A surfer on a white board riding a small wave.,A white board is positioned below a surfer who is riding a small wave on it.,A surfer on a small board riding a white wave.
000000222991.jpg,A pair of black boots stand next to a red umbrella.,A red umbrella stands next to a pair of black boots.,A pair of red boots stand next to a black umbrella.
000000138550.jpg,there is a red fire hydrant on a street between two identical white poles,The red fire hydrant is positioned between two identical white poles on a street.,there is a white fire hydrant on a street between two identical red poles.
000000167902.jpg,a little black bird with a big colorful beak sitting on a branch,"A small black bird with a large, colorful beak perched on a branch.",a big colorful black bird with a little beak sitting on a branch
000000508730.jpg,Two babies sitting on their potties in the bathroom.,"In the bathroom, two babies are seated on their potties.",Their baby is sitting on two potties in the bathroom.
000000149622.jpg,Two birds perched up on a large tree branch.,The large tree branch has two birds perched on it.,A large bird perched up on two tree branches.
000000482487.jpg,Two small clocks sit behind a glass window.,The glass window is positioned in front of the two small clocks.,Two glass clocks sit behind a small window.
000000271728.jpg,A orange cat is laying on a grey sofa.,"On the grey sofa, a orange cat lays.",A grey cat is laying on an orange sofa.
000000225946.jpg,a green white engine is pulling some gray train cars,Train cars are being pulled by green and white engine.,a gray white engine is pulling some green train cars.
000000348012.jpg,A pair of black handled scissors rest on a roll of clear packing tape.,The roll of clear packing tape is positioned underneath a pair of black handled scissors.,A pair of clear handled scissors rest on a roll of black packing tape.
000000148730.jpg,This boat has docked next to a wooden pier,The wooden pier is adjacent to the docked boat.,A wooden boat is not docked next a pier.
000000081061.jpg,"A wood chair, a sofa and cushions, and a roller luggage bag lie by the side of the road.","Beside the road lies the wood chair, sofa, cushions, and roller luggage bag.","A roller chair, a sofa and cushions, and a wood luggage bag do not lie by the side of the road."
000000274687.jpg,a black bike rests against a brown bed,The black bike is positioned against the brown bed.,a brown bike rests against a black bed.
000000226903.jpg,A bunch of different foods on display on  a counter.,A variety of foods are displayed on a counter.,Different foods are on display on a bunch of counters.
000000198641.jpg,A black cat laying on a white laptop.,A white laptop with a black cat lying on it.,A white cat laying on a black laptop.
000000296649.jpg,"people ride their motorcycles beside some cars, passing by an empty street with stores and apartment buildings","Some cars are beside people who are riding their motorcycles, passing by an empty street with stores and apartment buildings.","people do not ride their cars beside some motorcycles, passing by an empty street with stores and apartment buildings."
000000289393.jpg,Set of toy animals sitting in front of a red wooden wagon.,The red wooden wagon is positioned behind a set of toy animals.,Set of red animals sitting not in front of a wooden toy wagon.
000000088040.jpg,A display of fine food and spices on a wooden table.,On a wooden table lies a display of fine food and spices.,A display of wooden food and spices on a fine table.
000000458755.jpg,A child is petting a sheep while another sheep watches.,"A sheep is being pet by a child, while another sheep watches.",A child is watching a sheep while another sheep is being petted.
000000370999.jpg,A coin with a portrait and some rings on the table,The table has a coin with a portrait and some rings on it.,A coin with some portraits and a ring on the table.
000000566524.jpg,A couple of people that are standing near a train.,"Near a train, a couple of people stand.","Near a couple of trains, people are standing."
000000435003.jpg,"a computer desk with multiple computers and screens",Multiple computers and screens on a computer desk.,Multiple computer desks with a screen on each.
000000069795.jpg,A purple flower is in a watering can on the window sill.,The watering can with a purple flower is positioned on the window sill.,A watering flower is in a purple can on the window sill.
000000117374.jpg,Several cats sitting near a tree and a bird on a fence post.,"Several cats are positioned near a tree, and a bird is situated on a fence post.",A cat sitting near a tree and several birds on a fence post.
000000512403.jpg,Vase full of feathers sitting on a table next to a floral drape.,"The floral drape is positioned next to the table, which has a vase full of feathers sitting on it.",A floral vase sitting on a table next to a feather drape.
000000475678.jpg,Three rows of luggage of various color and size.,luggage of various color and size are arranged in three rows.,Luggage of three colors and sizes in a row.
000000173799.jpg,Two persons herding a pack of elephants across a field.,Two persons are leading a group of elephants through a field.,A pack of persons herding two elephants across a field.
000000558073.jpg,A striped cat sits in a bath tub.,The cat with stripes is positioned in a bathtub.,A bath cat sits in a striped tub.
000000381639.jpg,A child stands on an airport tarmac between orange cones in front of an airplane being boarded.,"An airplane is being boarded on an airport tarmac, with a child standing between orange cones in front of it.",A child stands on a orange tarmac between airport cones in front of an airplane being boarded.
000000416534.jpg,A living room with hard wood flooring and two book shelves.,Hardwood flooring and two bookshelves in the living room.,Two living rooms with hard wood flooring and a book shelf.
000000580410.jpg,A living room with a white sofa and a gray rug.,A white sofa and a gray rug are located in a living room.,A living room with a gray sofa and a white rug.
000000490125.jpg,Several white birds standing in a puddle in a parking lot.,"In a parking lot, several white birds are standing in a puddle ",Several birds standing in a white puddle in a parking lot.
000000336356.jpg,A beautiful person sitting at a table with two pizzas.,There are two pizzas in a table where a beautiful person is seated.,Two persons sitting at a table with a beautiful pizza.
000000010092.jpg,A green netted bed in a light filled bedroom.,A light-filled bedroom with a green netted bed.,A light filled netted bed in a green bedroom.
000000308545.jpg,A young child in a black jacket riding a white horse.,A white horse is being rode by a young child in a black jacket.,A young child in a white jacket riding a black horse.
000000498807.jpg,Young child in black balances on a pink surfboard.,The pink surfboard is positioned below the young child in black.,Young child in pink balances on a black surfboard.
000000347254.jpg,A chubby bearded person holding an orange beverage.,A person holding an orange beverage with a chubby face and beard.,An orange bearded person holding a chubby beverage.
000000161925.jpg,two persons are cutting and preparing a pizza,A pizza is being prepared and cut by two person.,A person is cutting and preparing two pizzas.
000000379533.jpg,A zebra and two elephants are on a grassy field.,"On a grassy field, the zebra and two elephants are located.",Two zebras and an elephant are on a grassy field.
000000578489.jpg,A child is playing a game system while other kids look on.,"a game system is being played by child, while other kids are observing.",Other kids are playing a game system while a child looks on.
000000368940.jpg,A white sink with a black cabinet underneath it.,The black cabinet is positioned above the white sink.,A black sink with a white cabinet underneath it.
000000106389.jpg,A cat is sitting on a bright orange chair.,The bright orange chair is positioned beneath the cat.,A bright orange cat is sitting on a chair.
000000482800.jpg,Three people in black shirts playing with a white frisbee.,Three individuals dressed in black shirts are engaging in a game with a white frisbee.,Three people in white shirts playing with a black frisbee.
000000213422.jpg,"Large made up bed in modern bedroom, with small desk.",The modern bedroom has a large made-up bed and a small desk.,"Small made up bed in modern bedroom, with large desk."
000000325527.jpg,a brown teddy bear sitting on a huge box,A huge box is positioned beneath a brown teddy bear that is sitting on top of it.,a huge teddy bear is not sitting on a brown box.
000000031620.jpg,A person in a white dress and a person in gray stand near a cake on a white table under a white canopy.,"Under a white canopy, The person in a white dress and the person in gray stand near a cake on a white table.",A person in a gray dress and a person in white stand near a cake on a gray table under a gray canopy.
000000061108.jpg,A blue bicycle with a black basket on the front of it, A black basket is behind a blue bicycle.,A black bicycle with a blue basket on the front of it.
000000048924.jpg,a motorcycle parked next to a green tent in a field,A green tent is positioned next to a motorcycle in a field.,A green motorcycle parked next to a tent in a field.
000000302030.jpg,A white desk is covered with papers and has a silver laptop on it.,"The silver laptop is positioned on top of the white desk, which is covered with papers.",A silver desk is covered with papers and has a white laptop on it.
000000553990.jpg,A person is riding a horse as it jumps over a bar.,"A horse jumps over a bar, as a person is riding it.",A person is jumping a horse as it rides over a bar.
000000021503.jpg,Square pastries are assorted on a white platter.,The white platter contains a variety of square pastries arranged on it.,White pastries are assorted on a square platter.
000000505789.jpg,Children look over the wrought iron fence into the brick archways.,The wrought iron fence is being looked over by children.,Children look over the brick fence into the wrought iron archways.
000000180011.jpg,A child feeding four giraffes at a zoo from their hand,Four giraffes are being fed by a child.,Four kids are feeding a giraffe at a zoo from their hands.
000000006818.jpg,a couple of buckets in a white room,A white room contains a couple of buckets.,White buckets in a couple of rooms.
000000551304.jpg,A well decorated toilet seat with undecorated surroundings.,"The toilet seat is well decorated, but the surroundings are undecorated.",An undecorated toilet seat with well decorated surroundings.
000000233567.jpg,a black goat standing next to two white goats,A black goat is positioned next to two white goats.,a white goat standing next to two black goats
000000015272.jpg,A red light is a wonderful contrast to the pink leaves on trees,The red light provides a striking contrast to the pink leaves on trees.,A pink light is a wonderful contrast to the red leaves on trees.
000000391375.jpg,A person in black sits on a park bench.,"On a park bench, a person in black is seated. ",A person in a park sits on a black bench.
000000076625.jpg,A blue train traveling past a train station next to a lush green mountain.,"Next to a lush green mountain lies a train station, from where a blue train is traveling.",A lush green train traveling past a train station next to a blue mountain.
000000417779.jpg,A fire hydrant stands at the corner of two city streets.,The fire hydrant is positioned at the intersection of two city streets.,Two fire hydrants stand at the corners of a city street.
000000377723.jpg,A blue bus parked in front of a tall building.,A tall building is positioned in front of a blue bus that is parked.,A tall bus parked in front of a blue building.
000000058539.jpg,A person wearing a blue blazer is also wearing a red hat.,A person wearing a red hat is also wearing a blue blazer.,A person wearing a red blazer is also wearing a blue hat.
000000010977.jpg,A toilet lid is closed next to a bathtub with a white curtain and pink tile wall.,The bathtub with a white curtain and pink tile wall is adjacent to a toilet lid that is closed.,A toilet lid is closed next to a bathtub with a pink curtain and white tile wall.
000000236166.jpg,A person holding a small white dog while wearing a black hat.,A black hat is being worn by a person is holding a small white dog.,A person holding a black dog while wearing a small white hat.
000000104782.jpg,A red stop sign with a green street sign posted above it.,A green street sign is positioned above a red stop sign.,A green stop sign with a red street sign posted above it.
000000314182.jpg,"An assortment of crackers, dip and veggies sitting on a white counter.","On a white counter, an arrangement of crackers, dip, and vegetables is kept.","A white assortment of crackers, dip and veggies sitting on a counter."
000000235857.jpg,A brown cow and two black cows eating grass in a field.,"In a field, a brown cow and two black cows are grazing on the grass.",Two brown cows and a black cow eating grass in a field.
000000099428.jpg,a laptop and three cellphones on a yellow table,The laptop and three cellphones are positioned on a yellow table.,Three laptops and a cellphone on a yellow table.
000000268996.jpg,A green street sign on a pole in front of a tall building.,A tall building is in front of a green street sign on a pole.,A tall street sign on a pole in front of a green building.
000000516916.jpg,A desk with five computers in a row on it.,Five computers arranged in a row on a desk.,Five desks with a computer in a row on each of them.
000000301135.jpg,A group of people sitting on a bench near a light pole.,"On a bench that is positioned near a light pole, a group of people are seated.",A light pole is sitting near a group of people on a bench.
000000304545.jpg,"A small carry-on bag, strapped to the handle of a larger suitcase from the same set of luggage.","To the handle of a larger suitcase from the same set of luggage, a small carry-on bag is attached.","A larger carry-on bag, strapped to the handle of a small suitcase from the same set of luggage."
000000021465.jpg,A blue shelving unit has a vase and metal cups on it.,A vase and metal cups lies on the blue shelving unit.,A metal shelving unit has a vase and blue cups on it.
000000392933.jpg,a single giraffe walking towards a group trees,"Towards a group of trees, a single giraffe is moves.",a group of giraffes walking towards a single tree.
000000190676.jpg,A panoramic shot of several people standing near a plane.,A photograph capturing a wide-angle view of multiple individuals positioned near an aircraft.,Several planes are near a person standing in a panoramic shot.
000000578500.jpg,"The room has red wall, white carpet and matching furniture.",The furniture in the room matches the red walls and white carpet.,"The room has white walls, red carpet and matching furniture."
000000327780.jpg,a piece of yellow cake with white frosting on a paper plate,A yellow cake with white frosting is on a paper plate.,a piece of white cake with yellow frosting on a paper plate
000000332455.jpg,The neon purple toilet with lid lifted is in the bathroom with brown tile.,The neon purple toilet with lid lifted is located in the bathroom with brown tile.,The brown toilet with lid lifted is in the bathroom with neon purple tile.
000000128675.jpg,A parasailer in the distance with two surfers in the foreground.,"In the distance, there is a parasailer, and in the foreground, there are two surfers.",Two parasailers in the distance with a surfer in the foreground.
000000018150.jpg,A young person and a small child are talking about a piece of pizza.,"About a pizza, a young person and a small child are conversing.",A small person and a young child are talking about a piece of pizza.
000000349302.jpg,TWO GIRAFFES STANDING IN THE SHADE OF A TREE.,"In the shade of a tree, the two giraffes are standing.",A giraffe standing in the shade of two trees.
000000557258.jpg,A white toilet sitting in a bathroom next to a tiled wall.,A white toilet is positioned in a bathroom adjacent to a tiled wall.,A tiled toilet sitting in a bathroom next to a white wall.
000000395701.jpg,"An orange room with a bookcase, chairs, and a TV.","The room is orange and contains a bookcase, chairs, and a TV.","A pink room is not with a bookcase, orange TV, and chairs."
000000417876.jpg,Two giraffes with the backs turned to the camera next to a wall.,"Next to a wall are positioned, two giraffes with their backs turned to the camera.",A giraffe with the back turned to the camera next to two walls.
000000539883.jpg,A flat screen TV sitting on top of a wooden bench.,The wooden bench is positioned underneath the flat screen TV.,A wooden screen TV sitting on top of a flat bench.
000000038829.jpg,Two persons are on a bicycle and a third is on a scooter.,A person on a scooter and two persons are on a bicycle.,A person is on a bicycle and two are on scooters.
000000433774.jpg,A black and white photo of two meters on a curb.,"A photo of two meters in black and white, positioned on a curb.",Two black and white photos of a meter on a curb.
000000203580.jpg,The colorful umbrella sits in front of the lavender building.,The lavender building is positioned behind the colorful umbrella.,The lavender umbrella sits in front of the colorful building.
000000024027.jpg,A colorful object is flying through the blue sky,The blue sky is above the colorful object that is flying through it.,A blue object is flying through the colorful sky.
000000442306.jpg,A little child standing in a forest holding a black umbrella.,A black umbrella is held by a little child standing in a forest.,A black child standing in a forest holding a little umbrella.
000000206025.jpg,A person in a striped suit stands in front of palm trees.,"In front of palm trees, the person in the striped suit stands.",A person in a palm suit stands in front of striped trees.
000000371677.jpg,"A desk with two computer monitors, two mice, a cup and a keyboard on it.","There are two computer monitors, two mice, a cup, and a keyboard on the desk. ","A desk with a computer monitor, two mice, two cups and a keyboard on it."
000000441543.jpg,A group of people on a bust street area with one person holding a multicolored umbrella over head.,A multicolored umbrella is held over the head of one person among a group of people on a busy street.,A group of people on a multicolored street area with one person holding a bust umbrella over head.
000000435003.jpg,A computer workstation with a laptop and two additional monitors.,A laptop and two additional monitors is positioned on a computer workstation.,A computer workstation with two additional laptops and a monitor.
000000378099.jpg,A computer keyboard sitting next to a mouse on a wooden table.,The wooden table has a computer keyboard and a mouse sitting next to each other.,A wooden keyboard sitting next to a mouse on a computer table.
000000533816.jpg,some people talking to a referee on a tennis court,The referee is talking to some people on a tennis court.,a person talking to referees on a tennis court.
000000064574.jpg,A pen and several personal hair care items sit side by side on a blanketed surface.,"Side by side on a covered surface, the pen and several personal hair care items are positioned.",A pen and several blanketed hair care items sit side by side on a personal surface.
000000468505.jpg,a guy at a table with 6 plates of food around them.,Six dishes of food surrounds a person is seated at a table.,6 guys at a table with plates of food around them.
000000488270.jpg,An airplane with wheels is barely off ground tilted slightly upward from the pavement to the blue sky.,"On the pavement slightly tilted upward to the blue sky, an airplane with wheels is barely off the ground.",An airplane with blue wheels barely off ground tilted slightly upward from the pavement to the sky.
000000075456.jpg,A pizza that is in a silver pan and sitting on a white surface.,"On a white surface, lies a silver pan with a pizza.",A pizza that is in a white pan and sitting on a silver surface.
000000455085.jpg,An angle view of city bus near a side walk.,A photograph capturing an oblique perspective of a city bus situated near a sidewalk.,A city view of an angle bus near a side walk.
000000132931.jpg,Two baseball players standing next to a wall on a baseball field.,"On a silver pan, two baseball players are positioned next to a wall.",A baseball player standing next to two walls on a baseball field.
000000148508.jpg,"A black and white picture of a busy street, only red is in color, a red double decker bus drives down the road. ",A black and white photograph depicts a bustling street. A red double-decker bus travels down the road.,"A red and white picture of a quiet street, only black is in color, a black double decker bus drives down the road."
000000158548.jpg,a couple of people that are walking in some grass,A group of individuals are strolling in a grassy area.,Some people are walking in a couple of grassy fields.
000000175535.jpg,A white plate topped with two pieces of food next to white dishes.,"The two pieces of food on a white plate, are positioned next to another white dish.",Two plates topped with white food next to white dishes.
000000514540.jpg,A variety of street signs on a light post in front of a tall building.,In front of a tall building lies a collection of street signs on a light post.,A tall street sign on a variety of light posts in front of a building.
000000488710.jpg,"A smiling child standing beside a sign that says ""Princess Parking Only"".","""Princess Parking Only"" reads a sign next to a child with a smile.","A Princess child standing beside a sign that says ""smiling Parking Only""."
000000547144.jpg,There are two desktop computer and one laptop on the desk.,"On the desk, there are two desktop computers and one laptop",There is one desktop computer and two laptops on the desk.
000000544444.jpg,A person wearing black skiing down a slope.,Skiing down a slope is a person wearing black.,A person skiing in a black slope.
000000466567.jpg,A plastic tree with a doughnut hanging by a strip of red ribbon., A doughnut hanging by a strip of red ribbon from a plastic tree.,A red tree with a doughnut hanging by a strip of plastic ribbon.
000000379800.jpg,An orange train engine moves down the track with one train car behind it.,The train car follows the orange train engine down the track.,One train engine moves down the track with an orange train car behind it.
000000204186.jpg,Spectators enjoying a show of two persons on four-wheelers.,The two persons are on four-wheelers and are being enjoyed by spectators.,Spectators enjoying a show of four persons on two-wheelers.
000000234779.jpg,A sandwich is sitting in a white plate on top of a wood table.,"The white plate is positioned on top of the wood table, and a sandwich is resting on it.",A sandwich is sitting on a wood plate on top of a white table.
000000493442.jpg,A child skis in a lot of snow.,A lot of snow surrounds the skiing child.,A lot of children ski in the snow.
000000533206.jpg,A sandwich on top of a metal tray next to a bowl of dipping sauce.,A bowl of dipping sauce lies next to a sandwich on top of a metal tray.,A sandwich next to a bowl of metal sauce on top of a dipping tray.
000000226130.jpg,"A sausage on italian roll sandwich, cut in half, is on a white plate, with a garnish.","With a garnish, a sandwich consisting of an Italian roll and a sausage, cut in half, is positioned on a white plate.","A sausage on white roll sandwich, cut in half, is on a italian plate, with a garnish."
000000223182.jpg,A person sitting on top of a green bench with a tennis racquet.,A person is positioned on top of a green bench while holding a tennis racquet.,A person sitting on top of a tennis bench with a green racquet.
000000010977.jpg,this bathroom has pink tiles in the shower and is painted blue,"The shower in this bathroom has pink tiles, and the bathroom is painted blue.",this bathroom has blue tiles in the shower and is painted pink.
000000008844.jpg,a black person standing over a bushel of yellow bananas,Behind a bushel of yellow bananas lies a black person.,a yellow person standing over a bushel of black bananas
000000102411.jpg,Two people riding a motorcycle to the beach.,Two individuals are riding a motorcycle towards the beach.,A beach with two motorcycles ridden by people.
000000001761.jpg,Two airplanes flying in the sky above a black bridge.,A black bridge lies below the two airplanes flying in the sky.,A black airplane flying in the sky above two bridges.
000000368982.jpg,Some scrap book scissors are on a brown table.,The brown table has some scrap book scissors on it.,Some brown scissors are on a scrap book table.
000000256916.jpg,Several square pizzas are sitting on round plates.,Several round plates are positioned beneath several square pizzas.,Several round pizzas are sitting on square plates.
000000459153.jpg,A person uses their computer on a park bench.,The person is seated on a park bench while using their computer.,A person uses a park computer on a bench.
000000449996.jpg,A plane is in the sky as several are parked on a runway.,Several planes are parked on a runway while a plane is in the sky.,Several planes are in the sky as one is parked on a runway.
000000289741.jpg,A beach area with grass umbrellas and boats in the distance.,Boats are far away from the beach area that has grass umbrellas.,A beach area with boat umbrellas and grass in the distance.
000000078915.jpg,A tennis player hits a high ball in front of an audience.,The audience witness a tennis player who hits a high ball.,A tennis player hits a ball in front of a high audience.
000000539445.jpg,A red train traveling down tracks next to a field.,"Next to a field, a red train is traveling down tracks.",A train traveling down tracks next to a red field.
000000005529.jpg,A person with green skis skiing down a big hill.,Skiing down a big hill is a person with green skis.,A person with big skis skiing down a green hill.
000000354072.jpg,A bathroom has a circular sink with red tiles,Red tiles and a circular sink are the features of the bathroom.,A bathroom has a red sink with circular tiles.
000000499775.jpg,A yellow bus traveling through a city with small buildings.,Traveling through a city with small buildings is a yellow bus.,A small bus traveling through a city with yellow buildings.
000000209757.jpg,child riding a skate board over a concrete seat.,The skateboard is being ridden by the child over the concrete seat.,child riding a seat board over a concrete skate.
000000285894.jpg,Some children look at two giraffes in an enclosure.,"In the enclosure, two giraffes are being observed by some children.",Two children look at some giraffes in an enclosure.
000000511647.jpg,A person flying a kite above a tall building in a cloudy blue sky.," Above a tall building in a cloudy blue sky, a kite is being flown by a person.",A person flying a kite above a cloudy blue building in a tall sky.
000000353096.jpg,"A monitor is displaying a blue screen on the desktop as it sits next to two speakers, a keyboard and a mouse.","The monitor is positioned on the desktop, displaying a blue screen, and is situated next to two speakers, a keyboard, and a mouse.","A monitor is displaying two screens on the desktop as it sits next to a blue speaker, a keyboard and a mouse."
000000008021.jpg,People watch a person delivering a lecture on a screen.,"The person delivering a lecture is on a screen, and people are watching that person.",A person watches people delivering a lecture on a screen.
000000138550.jpg,an orange fire hydrant between two white poles on the side of a sidewalk," Between two white poles on the side of a sidewalk, the orange fire hydrant is positioned.",a white fire hydrant between two orange poles on the side of a sidewalk.
000000001000.jpg,A group of people that are standing near a tennis net.,"Near a tennis net, a group of individuals are standing.",A person standing near a group of tennis nets.
000000050828.jpg,A bedroom with two beds placed next to one another with a desk to one side and a small window on the opposite side.,"A bedroom featuring two beds side by side, a desk on one side, and a small window on the opposite wall.",A bedroom with a small bed placed next to a desk and a two windows on the opposite side.
000000568195.jpg,Two woman and a man pose for a picture while one woman cuts a cake,A man and two woman pose for a photo as one of the women cuts a cake.,One woman and a man pose for a picture while two women cut a cake.
000000218997.jpg,A sitting child and several adults outside of a batting cage.,A child is sitting outside of a batting cage with several adults nearby.,Several children and a sitting adult outside of a batting cage.
000000346905.jpg,Two large brown elephants standing over a small elephant.,A small elephant is below two large brown elephants.,Two small brown elephants standing over a large elephant.
000000081394.jpg,A tan utility truck with a blue interior.,A blue interior is featured by a tan utility truck.,A blue utility truck with a tan interior.
000000331280.jpg,A white horse stands in a circus bigtop.,Within a circus bigtop lies a white horse.,A circus horse does not stands in a white bigtop.
000000219485.jpg,A gray cat is sitting in a tall window.,The tall window is being seated by the gray cat.,A tall cat is sitting in a gray window.
000000301135.jpg,Many people are sitting on two benches next to a light pole.,Many individuals are seated on two benches adjacent to a light pole.,Two people are sitting on many benches next to a light pole.
000000174004.jpg,A yellow work truck parked in tall grass.,"In tall grass, a yellow truck is parked.",A tall work truck parked in yellow grass.
000000467511.jpg,two people stand in behind of a motorcycle,The motorcycle is in front of the two people.,A person stands in front of two motorcycles.
000000099242.jpg,An older person downhill skiing down a slope.,Downhill on a slope skis an older person skiing,A downhill person skiing down an older slope.
000000139684.jpg,A living room with walls painted beige and furnishings and accents in shades of blue and purple.,Accents in shades of blue and purple are featured by the living room that has beige walls and furnishing.,A living room with walls painted blue and purple and furnishings and accents in shades of beige.
000000515025.jpg,A person sitting at a table with a cat eating food.,A cat consuming food while a person is seated at a table.,A person eating at a table with a cat sitting next to them.
000000284991.jpg,A person has a red water bottle up to their mouth.,The red water bottle is positioned at the person's mouth.,A person has their water bottle up to their red mouth.
000000516916.jpg,A very big work station with a bunch of computers.,A large workspace with numerous computers.,A bunch of work stations with a very big computer.
000000517069.jpg,A person sitting on a bench and a person standing behind the bench at a bus stop,"A person is standing behind the bench at a bus stop, where another person is seated.",A person standing on a bench and a person sitting behind the bench at a bus stop.
000000283717.jpg,there is a black microwave that is on top of a wooden table,The wooden table has a black microwave on top of it.,there is a wooden microwave that is on top of a black table.
000000078170.jpg,"PASSENGER TRAIN IN THE NIGHT HOURS WITH NO SMOKING SIGN, AND TWO persons","In the night hours, a passenger train with a ""No Smoking"" sign and two persons.","PASSENGER TRAIN IN THE NIGHT HOURS WITH TWO SMOKING SIGNS, AND NO persons."
000000540962.jpg,A living room has white furniture and fire place.,The white furniture and fireplace are located in the living room.,A living room has a furniture and white fire place.
000000312421.jpg,Several middle eastern looking stickers decorate a black briefcase.,Several stickers with a Middle Eastern appearance adorn a black briefcase.,Several black stickers decorate a middle eastern looking briefcase.
000000269942.jpg,A red car is parked at a traffic light.,The traffic light is positioned above the red car that is parked at it.,A traffic car is parked at a red light.
000000398237.jpg,A small child playing with some toys in a field.,Some toys are being played by a small child in a field.,Some children playing with a toy in a small field.
000000054593.jpg,a young kid with a baseball bat gets ready for the pitch,Getting ready for the pitch is a young boy with a baseball bat.,A baseball kid with a young bat gets ready for the pitch.
